POA_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
POA2600,16,5,3,0,7,0,0,3,0,24,0,0,0,0,0,0,0,0,0,3,21,13,4,3,3,5,0,0,0,50,0,8,0,0,3,0,0,0,0,8,53,7,42,0,17,0,4,8,0,132,14,6,0,0,6,9,0,0,0,31,35,7,4,3,9,89,4,12,0,156,42,0,27,60,12,11,3,20,0,176,17,12,0,0,4,4,7,0,0,46,19,38,0,0,3,0,0,0,0,60,8,32,0,0,16,0,0,0,0,62,11,12,0,0,14,35,0,0,3,74,87,358,18,0,57,3,0,0,9,525,12,22,0,3,12,0,0,12,0,57,396,498,12,57,249,0,3,0,71,1295,42,197,0,49,28,3,0,3,4,334,21,285,3,45,51,0,3,7,0,417,21,20,0,21,3,3,0,0,3,67,18,28,17,18,7,3,0,0,0,84,10,12,3,0,13,0,0,0,12,56
POA2601,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,5,8,0,5,0,3,0,0,0,28,3,8,0,0,0,3,0,0,0,11,9,9,11,0,3,0,0,3,0,39,0,3,0,0,3,3,0,0,0,20,14,9,3,14,4,197,0,11,0,250,32,3,28,272,16,46,4,64,0,466,3,18,3,5,4,0,0,0,0,38,3,19,0,0,0,8,0,0,0,42,4,18,0,0,12,0,0,0,3,47,3,6,0,0,8,7,0,0,0,27,37,162,13,0,61,3,0,0,4,282,10,8,0,3,4,3,0,15,0,44,155,318,8,30,128,0,0,0,18,661,16,266,8,57,29,0,0,3,3,387,12,70,3,18,28,3,0,0,0,139,4,8,0,32,9,3,0,4,0,62,8,7,6,18,15,5,0,9,0,81,3,19,0,12,5,3,3,3,9,62
POA2602,8,12,6,0,0,0,0,7,0,40,0,3,0,0,0,0,0,0,0,7,26,37,61,15,11,22,6,17,3,203,17,28,6,0,13,0,5,0,0,73,90,31,275,0,41,8,17,69,9,543,11,30,12,3,5,17,6,3,0,99,123,32,39,11,29,525,19,57,3,825,156,8,169,500,45,76,17,200,7,1172,22,35,11,4,63,10,75,15,3,236,43,243,38,4,51,19,0,5,8,415,26,80,3,3,69,6,0,0,4,190,16,29,9,11,24,54,0,6,0,140,244,1136,102,18,274,13,3,6,25,1816,36,77,33,23,39,6,5,300,0,503,1449,1931,108,178,1038,9,9,21,194,4926,154,1418,64,177,176,4,3,16,11,2030,107,566,37,391,123,12,3,25,5,1264,63,185,28,94,46,13,0,11,4,440,53,81,89,72,54,4,0,34,5,379,53,64,53,25,33,10,15,29,95,378
POA2603,8,0,0,0,0,0,0,4,0,12,0,3,0,0,0,0,0,0,0,3,13,8,7,0,3,9,3,0,0,50,3,6,0,0,3,0,0,0,0,24,79,14,46,0,26,3,6,18,3,199,12,8,3,0,4,4,3,0,0,41,70,18,11,3,12,121,3,12,0,254,45,3,30,99,15,29,6,35,3,260,15,14,3,0,12,3,19,0,8,65,7,52,3,0,9,3,0,0,0,79,19,42,0,0,22,4,0,0,13,97,27,19,0,0,14,69,0,0,3,133,106,367,14,0,73,6,0,0,11,580,15,18,7,10,17,0,0,15,3,80,516,678,36,44,334,3,5,3,56,1672,39,276,6,41,31,0,0,0,6,408,40,320,3,79,70,4,0,13,5,528,10,21,6,21,9,0,0,0,3,73,31,29,24,17,9,0,0,0,0,124,30,24,10,3,15,10,0,7,27,116
POA2604,8,0,3,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,17,9,18,0,10,4,0,6,0,65,4,7,5,0,9,0,4,0,0,27,41,15,87,0,14,6,7,21,0,193,24,13,7,0,4,9,3,0,0,60,49,17,15,7,5,170,4,12,0,272,66,4,40,95,13,17,4,43,0,281,14,22,3,3,17,5,14,0,0,86,25,67,5,0,6,3,0,0,0,107,17,44,0,0,24,6,0,0,0,91,15,16,0,0,9,28,0,0,0,71,91,438,37,3,70,5,0,3,8,644,20,27,3,9,14,3,3,30,0,114,671,1083,38,118,490,3,3,4,80,2485,49,323,6,38,37,0,0,3,3,460,42,272,9,115,54,4,0,8,6,502,23,36,4,24,11,4,0,3,4,105,33,34,20,22,18,0,0,8,0,144,16,35,15,4,17,4,11,11,23,133
POA2605,3,3,0,0,4,0,0,5,0,21,3,0,0,0,0,0,0,0,0,3,26,16,15,4,7,14,5,3,0,82,3,9,5,0,4,0,0,0,0,15,40,14,83,0,18,0,3,18,0,190,11,10,7,0,3,11,0,0,0,43,45,12,7,5,11,177,5,22,0,294,39,4,37,125,4,35,7,48,0,308,17,12,3,3,18,5,31,0,4,87,17,42,9,0,13,9,0,0,0,90,16,44,3,0,22,0,0,0,0,81,11,13,0,0,12,33,0,4,0,78,80,373,21,3,68,5,0,0,11,564,16,24,10,8,15,0,0,32,0,106,532,662,28,60,357,0,12,7,50,1706,42,318,12,50,37,0,0,4,0,470,38,549,16,149,88,3,7,17,6,873,18,25,12,31,3,3,0,3,0,95,28,34,29,17,17,3,0,4,0,140,16,30,9,4,14,10,7,3,36,122
POA2606,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,16,17,16,0,8,9,7,10,0,79,7,15,0,0,3,0,0,0,0,26,37,10,106,0,20,3,5,32,0,225,5,3,8,0,0,6,4,3,0,37,51,11,16,4,17,167,11,29,0,320,51,3,70,76,14,19,3,73,0,304,13,6,0,3,29,7,35,0,3,97,10,36,14,0,12,3,0,0,0,75,9,29,0,0,21,0,0,0,3,62,12,10,3,0,15,28,0,3,5,77,45,233,29,0,56,6,0,3,9,374,5,10,11,6,12,3,3,96,0,144,361,543,39,63,372,3,0,11,55,1457,25,186,11,44,32,0,0,10,3,315,40,593,20,251,74,3,3,21,5,1018,19,23,3,18,12,6,0,0,0,80,17,19,47,19,20,0,0,15,0,133,12,21,8,8,13,5,5,10,33,109
POA2607,11,0,3,0,3,0,3,0,0,26,0,0,0,0,0,0,3,0,0,6,23,12,36,6,8,11,0,8,0,100,9,9,11,0,5,0,6,0,0,38,80,14,170,0,30,5,10,32,9,341,17,11,10,0,10,9,11,0,0,61,76,22,19,0,29,284,12,39,3,479,79,6,64,170,12,43,9,70,3,461,19,14,0,3,33,7,51,0,0,129,8,37,4,0,16,14,6,0,0,82,13,47,0,0,24,0,0,0,3,92,15,24,0,0,11,38,0,0,0,94,93,394,46,3,92,3,0,3,9,646,12,20,16,12,19,8,0,50,0,137,538,653,42,93,541,6,3,13,84,1969,52,364,9,80,48,3,0,8,3,563,62,502,24,235,120,3,4,13,5,968,16,35,3,44,21,4,0,4,0,127,31,29,61,31,22,3,0,7,3,196,20,25,18,14,23,9,4,21,35,173
POA2609,7,0,3,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,6,0,0,9,8,0,19,0,0,0,10,13,3,51,0,0,0,0,0,3,0,0,0,4,5,0,0,0,0,7,0,3,0,27,7,0,5,8,0,7,0,5,0,28,4,0,3,0,3,3,10,0,0,28,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,3,0,4,0,0,0,0,11,0,3,3,0,0,0,0,14,0,21,9,21,3,7,15,0,0,0,4,61,0,9,0,0,4,0,0,3,0,18,3,4,3,12,6,0,0,0,0,25,3,0,0,3,0,0,0,0,0,3,3,3,10,0,3,0,0,0,0,16,0,4,4,3,3,0,0,7,8,20
POA2611,26,7,11,0,3,0,0,9,3,55,3,0,0,0,0,0,0,0,0,6,33,35,66,9,18,26,7,11,0,209,17,24,22,0,20,0,7,11,4,104,143,22,421,0,63,7,25,109,3,794,25,25,17,0,11,23,6,9,4,122,110,39,59,7,52,461,19,55,5,806,110,7,92,225,28,80,13,112,3,674,29,32,11,10,53,11,115,5,0,267,33,98,31,6,31,24,0,0,9,225,33,85,3,0,95,3,3,0,8,233,40,26,7,4,36,79,4,5,4,194,208,817,83,4,207,23,0,14,22,1381,32,47,43,35,49,3,0,96,6,312,1192,1525,118,243,1167,7,26,19,160,4453,120,878,50,176,162,0,0,12,6,1412,84,843,50,385,222,3,3,45,11,1652,33,53,18,80,28,3,3,4,0,228,51,55,132,53,58,12,0,19,0,383,30,64,30,18,36,13,12,23,56,292
POA2612,10,0,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,15,26,18,3,7,18,3,8,0,94,8,13,3,0,10,0,0,3,0,47,49,15,56,0,24,5,3,20,3,169,10,18,7,0,3,9,0,3,0,51,86,23,16,10,14,273,3,34,0,457,92,6,97,281,26,39,3,137,3,680,17,32,3,4,18,3,22,3,4,109,19,84,19,0,18,11,0,3,0,154,17,48,0,3,40,0,0,0,5,112,14,15,0,0,11,39,0,6,7,88,128,731,34,6,138,15,0,4,13,1065,20,50,7,16,25,0,0,94,5,221,1639,1561,56,295,635,10,3,4,128,4334,116,606,25,70,79,4,0,10,7,912,35,268,9,110,49,4,0,7,6,476,27,49,11,43,16,5,0,3,3,154,37,32,32,38,30,3,3,19,0,194,13,44,17,16,23,10,0,19,52,192
POA2614,19,7,4,0,3,0,0,8,0,44,0,6,0,0,0,0,0,0,0,9,25,21,38,6,8,17,3,14,3,143,11,15,4,0,17,7,0,5,0,56,55,18,236,0,25,4,11,57,0,414,18,16,9,0,12,11,8,0,3,72,96,24,41,3,25,347,14,46,3,597,68,10,95,173,22,76,15,106,4,568,16,28,6,9,41,9,76,7,0,194,29,69,13,0,27,14,4,0,3,165,15,47,3,0,37,10,0,0,3,116,20,11,4,3,9,44,0,3,6,105,142,547,69,8,147,12,0,7,18,960,18,34,29,24,31,0,3,97,0,232,701,979,64,137,631,5,6,18,118,2653,114,815,44,128,102,3,0,16,6,1222,54,388,26,321,88,5,8,19,3,915,30,61,13,55,11,11,4,4,3,190,32,29,69,57,33,5,0,21,3,254,17,48,21,16,24,11,0,23,57,231
POA2615,13,4,13,0,7,4,9,23,0,72,0,3,3,0,0,0,3,0,0,11,49,43,140,11,28,32,29,28,3,364,28,27,50,0,36,8,32,24,4,213,152,40,988,0,119,17,112,273,18,1707,38,36,32,0,31,58,33,8,3,241,259,47,123,17,87,1022,56,136,14,1757,180,6,190,355,56,187,29,285,4,1286,48,44,36,13,128,28,314,19,3,637,60,149,54,4,86,29,3,6,4,387,53,93,4,0,204,6,0,0,10,381,43,25,4,9,62,85,4,5,3,239,216,917,212,22,387,19,11,16,36,1841,49,67,74,43,77,5,19,302,4,635,1135,1768,225,494,1969,24,32,36,268,5950,186,1213,117,389,327,9,5,40,29,2314,142,720,98,908,360,9,23,58,3,2322,77,90,34,110,55,21,0,20,8,404,63,80,316,117,100,9,4,50,4,751,54,62,87,27,64,34,40,64,138,582
POA2617,16,0,13,3,3,0,0,22,0,58,3,0,0,0,0,0,3,0,0,10,29,40,72,5,12,36,10,24,0,231,21,25,16,0,25,4,11,11,0,108,125,34,557,5,74,8,46,116,11,969,20,29,18,0,21,37,11,6,0,145,198,54,61,16,59,915,34,100,8,1439,189,20,183,549,54,125,40,253,12,1426,42,52,11,15,73,16,124,10,0,343,51,125,53,3,48,27,3,0,4,305,40,107,9,0,129,3,0,3,7,301,45,19,13,3,44,78,3,5,8,222,228,1042,147,11,275,6,0,7,32,1752,30,60,51,42,51,7,3,216,6,461,944,1559,107,281,1257,14,32,17,161,4365,156,1129,63,267,248,5,0,24,16,1900,77,591,49,595,214,9,8,36,14,1588,65,68,12,120,42,16,0,14,0,348,38,71,174,100,50,14,3,35,4,480,49,63,43,43,49,34,22,33,94,430
POA2618,34,0,0,0,0,0,0,8,0,45,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,3,31,4,62,0,15,0,4,18,3,133,0,0,0,0,0,7,0,0,0,12,6,3,3,0,7,20,0,0,0,38,18,0,4,12,0,3,0,10,3,46,3,0,0,4,3,0,9,0,0,19,3,3,0,0,0,0,0,0,0,7,3,4,0,0,6,0,0,0,0,9,0,0,0,0,4,7,0,0,0,14,16,43,6,0,29,3,0,0,0,93,5,3,0,0,4,0,0,8,0,24,26,33,0,8,26,0,3,3,0,106,3,32,3,15,13,0,0,0,0,65,0,22,0,12,12,0,0,0,0,55,0,5,0,4,0,0,0,0,0,16,3,3,7,4,3,0,0,0,0,24,8,4,0,4,3,0,0,0,8,26
