POA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA2600,0,9,0,9,153,3,164,0,0,0,3,133,10,150,52,10,0,68,324,36,427,198,9,3,210,212,26,441,184,5,6,198,291,28,515,52,32,0,82,351,28,452,4,88,0,94,337,34,463,0,24,0,24,142,14,177,0,0,0,0,84,10,95,487,173,11,674,2030,193,2899,0,19,0,15,219,12,245,3,12,0,15,145,9,165,80,23,0,101,303,23,428,255,12,13,281,159,25,465,206,18,9,232,300,33,564,20,93,0,106,402,26,534,4,163,4,168,286,35,482,0,28,0,28,182,26,239,0,0,0,0,132,24,161,561,361,23,950,2127,216,3289,0,26,0,24,374,17,412,3,12,0,18,284,22,316,134,31,0,165,632,65,859,455,19,16,490,367,56,907,388,20,18,427,591,62,1084,66,116,0,186,752,53,990,4,248,5,261,620,68,950,0,48,0,48,329,40,420,0,5,0,5
POA2601,0,3,0,3,521,29,552,0,8,0,5,999,66,1066,23,10,0,31,710,107,850,36,0,0,36,174,41,252,17,0,0,17,96,19,138,3,9,0,12,89,20,125,3,12,0,13,39,9,66,0,0,0,3,7,3,11,0,0,0,0,10,3,12,80,46,0,136,2641,294,3072,0,23,0,23,756,37,824,3,10,0,15,1096,54,1165,28,16,0,52,591,68,706,26,3,0,26,115,18,162,15,3,0,20,98,25,139,0,13,0,17,74,13,103,0,10,0,10,30,13,48,0,0,0,0,11,3,15,0,0,0,0,8,7,16,76,89,0,166,2780,231,3178,0,33,0,33,1280,66,1375,5,17,0,24,2096,118,2233,51,25,0,78,1302,172,1554,61,8,0,69,294,57,416,30,3,0,34,199,42,276,8,24,0,26,166,33,226,3,27,0,28,66,23,115,0,0,0,3,22,6,25,0,0,0,0
POA2602,4,37,0,38,666,64,767,10,29,0,35,1210,65,1316,363,60,6,432,2048,195,2669,983,40,37,1065,961,148,2172,681,50,29,757,1059,136,1951,142,97,5,251,1100,80,1429,20,137,0,160,683,69,915,3,36,0,41,457,82,576,0,4,0,4,262,54,316,2207,485,84,2779,8448,885,12110,6,61,0,67,629,39,736,29,77,0,113,1226,78,1414,547,117,27,692,1843,183,2715,1247,77,90,1414,771,133,2321,684,100,48,839,1131,96,2066,60,245,5,301,1207,101,1610,9,254,3,265,698,80,1047,4,65,0,73,655,113,833,0,9,0,6,376,108,483,2590,1002,175,3770,8529,934,13235,7,99,0,104,1299,94,1503,36,107,0,147,2434,149,2726,913,175,38,1123,3886,380,5387,2230,116,132,2483,1730,279,4493,1371,151,77,1591,2195,229,4022,199,342,10,555,2303,182,3038,37,390,6,426,1380,148,1958,4,101,0,105,1109,196,1415,0,6,0,13
POA2603,0,16,0,16,300,18,333,3,4,0,6,242,28,279,58,15,0,72,504,74,651,238,13,4,253,241,40,532,255,11,3,271,425,55,759,53,30,0,80,471,48,600,9,77,0,80,309,33,429,0,19,0,22,138,18,173,0,3,0,3,79,26,106,622,182,12,808,2701,348,3857,0,14,0,14,214,10,237,6,12,0,19,207,21,245,109,25,0,136,513,72,723,338,20,17,369,210,44,620,264,23,4,300,385,37,714,16,83,0,106,452,55,607,3,118,3,122,267,36,424,0,24,0,26,177,29,233,0,0,0,0,174,39,212,742,322,25,1084,2588,337,4017,0,27,0,30,517,30,571,7,18,0,25,452,52,524,169,37,0,209,1013,148,1371,574,26,18,621,447,85,1155,522,37,8,570,806,97,1470,72,108,0,189,916,100,1204,12,196,3,208,573,67,849,0,40,0,42,312,45,406,0,4,0,4
POA2604,0,5,0,5,225,21,250,3,11,0,17,245,27,285,115,18,3,142,895,102,1143,293,6,13,312,375,57,750,202,11,3,212,401,63,675,44,28,0,75,480,56,609,3,35,0,39,240,48,325,0,7,0,7,114,46,166,0,3,0,3,70,39,104,666,130,16,810,3042,447,4303,0,11,0,11,198,5,208,11,12,3,30,255,27,304,169,46,4,229,919,115,1257,351,30,15,399,338,52,782,211,25,6,246,435,60,735,15,66,4,83,455,56,598,0,76,0,83,223,32,336,0,15,0,15,178,61,255,0,0,0,0,94,102,205,762,293,28,1089,3093,517,4692,0,16,0,16,423,24,460,17,24,3,40,498,51,594,292,73,7,365,1816,216,2401,647,33,27,709,709,110,1534,412,36,9,453,836,121,1409,60,99,7,166,935,109,1212,3,114,0,118,467,79,666,0,25,0,25,291,112,424,0,8,0,8
POA2605,0,21,0,21,313,14,350,3,7,0,10,232,14,260,96,7,0,106,398,53,550,431,9,8,450,234,52,735,349,12,4,368,405,65,836,66,44,0,113,490,41,641,6,83,0,93,350,54,499,3,39,0,39,293,40,376,0,4,0,4,152,21,178,950,232,16,1195,2871,352,4417,0,20,0,24,286,13,315,11,10,0,27,235,12,265,173,22,4,199,364,33,595,538,24,16,582,193,55,822,365,25,17,408,463,54,919,24,92,0,118,533,56,704,8,128,0,139,361,44,542,4,58,0,58,373,54,486,0,8,0,8,302,41,353,1119,393,36,1552,3092,357,4997,0,40,0,38,599,26,663,11,26,0,36,464,20,521,265,31,6,302,760,90,1146,969,32,28,1027,425,106,1560,708,41,17,768,863,113,1752,84,139,0,226,1017,93,1346,19,211,0,226,711,98,1039,5,97,0,100,662,92,857,0,8,0,8
POA2606,0,6,0,9,205,17,229,0,10,0,11,253,25,297,148,17,5,169,729,103,999,295,17,9,312,361,57,730,159,12,4,177,356,43,581,24,26,0,54,346,46,446,5,42,0,46,262,30,340,0,17,0,17,187,33,236,0,3,0,3,66,11,79,636,153,17,807,2769,366,3942,4,14,0,19,176,12,211,7,8,0,17,255,29,309,228,36,12,276,702,98,1080,327,18,13,352,274,44,669,157,27,8,191,345,39,574,14,78,4,93,303,31,424,3,92,0,94,277,27,398,3,28,0,31,214,25,275,0,0,0,0,79,16,98,736,306,36,1076,2634,322,4028,5,23,0,29,384,29,443,9,26,0,34,510,59,601,370,51,16,437,1436,205,2075,614,35,18,671,634,98,1399,312,45,13,368,701,83,1152,37,103,3,146,647,78,871,8,128,0,139,543,54,738,4,48,0,49,406,61,516,0,4,0,4
POA2607,0,31,0,31,422,25,481,5,10,0,15,375,17,406,166,21,6,188,483,44,722,437,14,9,463,322,36,821,325,20,6,351,539,40,924,70,64,3,134,639,31,803,12,121,0,133,483,35,655,0,42,0,44,324,32,407,0,0,0,0,139,12,153,1020,324,25,1368,3730,275,5368,3,30,0,27,372,15,426,20,24,0,46,320,20,381,234,26,9,270,400,40,708,574,23,25,618,275,24,927,305,52,10,370,613,38,1024,33,137,0,166,621,39,825,5,211,0,214,582,45,847,3,64,0,69,392,44,497,0,0,0,3,180,34,215,1171,572,51,1790,3761,300,5850,3,54,0,59,801,44,899,23,34,3,60,695,38,795,400,46,10,460,891,77,1429,1015,38,35,1080,602,61,1747,629,72,21,722,1151,77,1954,104,197,4,304,1257,70,1630,22,330,0,351,1067,86,1503,5,107,0,110,715,78,907,0,5,0,5
POA2609,0,0,0,0,14,7,23,3,0,0,3,22,5,38,11,0,0,8,37,15,59,18,0,0,18,33,17,63,9,3,0,12,77,22,109,3,3,0,10,61,13,76,0,0,0,5,50,22,71,0,3,0,3,11,9,22,0,0,0,0,6,0,11,46,16,3,60,307,103,471,0,0,0,0,10,4,12,0,0,0,0,11,0,14,13,0,0,16,24,10,45,20,5,0,26,13,4,40,13,4,0,14,36,11,55,0,10,0,9,42,11,64,0,8,0,9,34,17,61,0,0,0,0,19,9,28,0,0,0,0,3,3,8,49,23,0,72,187,69,326,0,0,0,6,24,8,36,4,0,0,9,34,8,51,19,3,0,21,56,24,107,39,5,0,43,44,22,106,19,6,0,29,110,29,164,7,7,0,17,101,26,143,0,10,0,11,82,38,130,0,3,0,3,30,16,49,0,0,0,0
POA2611,0,30,0,34,609,42,689,23,26,0,48,568,39,659,417,66,11,484,1170,143,1794,1131,43,40,1213,775,125,2105,673,44,19,743,943,94,1781,95,118,3,219,1007,80,1303,19,261,0,276,936,94,1309,6,80,0,83,519,91,697,0,3,0,3,171,54,224,2363,670,71,3110,6699,756,10559,3,63,0,67,602,50,720,28,54,4,86,564,33,677,671,98,32,799,1134,147,2076,1365,77,83,1522,601,118,2246,585,91,33,711,1013,81,1807,28,298,3,325,1066,88,1481,15,463,3,480,967,110,1548,9,75,0,82,603,114,805,4,7,0,9,233,125,374,2706,1226,155,4086,6784,863,11729,4,99,0,108,1211,92,1404,49,82,4,135,1130,73,1339,1082,162,35,1286,2302,284,3871,2501,112,117,2736,1374,244,4351,1262,135,54,1455,1956,174,3580,117,419,10,543,2077,164,2788,28,720,6,754,1904,199,2859,16,153,0,164,1125,201,1501,4,12,0,12
POA2612,0,15,0,13,520,36,576,9,23,0,29,1418,156,1596,151,36,0,181,1974,260,2422,294,12,12,316,607,123,1043,216,9,4,233,543,113,885,60,36,0,96,540,79,715,6,67,0,77,300,53,430,0,16,0,16,134,29,179,0,0,0,0,78,6,84,724,223,17,961,6111,862,7933,3,19,0,24,396,47,465,20,39,3,58,1099,108,1265,204,59,9,270,1655,195,2120,313,29,20,358,423,79,865,200,29,8,231,420,66,723,27,73,0,99,431,41,568,0,114,0,116,305,48,465,0,21,0,28,199,38,262,0,0,0,0,107,30,140,762,379,37,1177,5034,661,6872,3,35,0,38,915,79,1039,21,55,3,80,2512,262,2863,351,89,6,452,3628,459,4543,601,37,29,672,1030,204,1911,410,37,14,461,959,185,1609,82,109,0,195,974,113,1282,4,186,0,188,609,103,895,0,44,0,47,329,69,443,0,3,0,3
POA2614,0,28,0,28,464,29,520,14,26,0,39,613,41,695,253,33,7,295,869,64,1221,695,32,24,752,503,67,1326,497,35,9,543,668,58,1264,63,66,0,129,738,36,909,18,183,0,201,652,53,908,6,59,0,64,460,53,579,3,0,0,3,186,23,204,1545,472,44,2058,5152,415,7631,0,51,0,51,395,28,473,34,41,0,75,481,31,591,389,59,30,476,750,53,1283,849,37,52,940,405,56,1399,422,65,18,509,677,56,1238,31,198,0,232,779,46,1050,12,315,0,329,702,70,1089,7,69,0,74,513,66,650,0,5,0,5,290,39,333,1753,825,103,2679,4991,438,8103,0,82,0,80,859,55,997,49,61,0,110,1100,66,1282,645,93,38,769,1615,118,2509,1551,75,69,1694,910,122,2721,918,98,31,1051,1339,111,2505,102,262,0,360,1513,82,1960,29,498,3,530,1351,116,1998,13,127,0,140,975,114,1228,3,0,0,5
POA2615,0,86,0,89,1121,97,1301,53,38,3,99,1168,69,1336,939,90,28,1054,1943,172,3167,1840,69,59,1971,1299,163,3427,822,95,22,934,1561,120,2610,141,257,3,401,1633,115,2150,17,363,0,385,1299,115,1795,7,57,0,67,561,66,697,3,3,0,4,129,26,158,3831,1062,114,5007,10707,936,16646,7,136,0,146,1038,73,1261,116,92,0,208,986,75,1265,1452,161,80,1695,1636,159,3489,2097,124,133,2359,1081,136,3575,695,205,37,942,1655,132,2729,67,622,9,698,1695,149,2551,17,603,0,622,1316,138,2082,5,71,0,76,610,60,747,4,5,0,7,205,52,261,4469,2020,264,6755,10228,980,17957,12,222,0,238,2156,169,2563,168,130,6,309,2155,145,2606,2393,254,107,2749,3581,329,6658,3939,193,199,4331,2379,300,7009,1518,298,63,1876,3214,247,5337,210,881,11,1098,3333,267,4701,41,963,0,1004,2615,255,3876,10,129,0,137,1169,133,1439,5,11,0,16
POA2617,0,37,0,40,837,77,954,19,40,0,56,1872,155,2087,481,58,12,555,2478,241,3271,1021,35,21,1075,1041,161,2280,500,35,8,545,1020,131,1690,92,190,3,284,1215,100,1603,28,249,5,273,837,86,1203,4,50,0,52,347,47,445,0,3,0,3,118,37,163,2139,700,55,2886,9770,1034,13697,4,55,0,61,812,63,930,56,81,0,143,1823,179,2142,730,100,36,863,2147,188,3197,1154,69,40,1262,772,120,2156,421,98,9,529,1025,102,1656,55,451,3,512,1200,128,1836,11,342,6,352,803,94,1245,0,54,0,52,426,64,542,0,6,0,5,180,99,284,2426,1262,92,3775,9179,1035,13991,3,91,0,100,1650,141,1889,76,121,3,195,3698,332,4221,1208,163,49,1415,4627,426,6473,2171,106,64,2340,1816,287,4436,920,139,20,1076,2042,226,3343,148,646,3,796,2419,226,3438,33,587,7,634,1636,176,2447,3,104,0,110,771,107,989,0,11,0,10
POA2618,0,0,0,0,52,8,66,3,0,0,4,32,8,43,11,3,0,13,28,9,50,52,0,0,52,34,6,88,41,4,0,46,63,10,112,8,13,0,19,61,9,88,0,13,0,18,69,3,88,0,5,0,5,33,3,44,0,0,0,0,5,0,5,117,42,0,157,373,49,585,0,3,0,5,46,9,60,3,3,0,8,26,3,33,15,3,0,21,27,11,50,71,4,0,74,27,15,116,33,7,0,43,64,7,110,5,25,0,29,66,10,106,0,22,0,25,57,3,85,0,10,0,10,21,4,32,0,0,0,0,3,0,3,127,80,5,210,328,57,595,0,4,0,9,102,19,123,4,3,0,8,60,7,81,32,7,0,38,52,18,104,124,4,0,128,60,21,206,72,11,0,88,121,13,226,16,35,0,51,121,16,193,0,39,0,39,125,9,175,0,14,0,14,55,9,70,0,0,0,0
POA2900,0,0,0,0,37,5,37,0,3,0,3,61,6,72,39,3,0,46,179,20,243,55,3,0,57,85,12,152,21,3,0,24,67,9,101,3,6,0,13,84,8,103,0,20,0,20,55,7,85,0,3,0,3,29,0,37,0,0,0,0,9,3,7,118,44,3,166,604,57,830,0,4,0,3,30,0,34,3,6,0,9,58,3,70,70,8,3,81,122,20,228,49,10,0,55,54,4,116,20,13,0,28,86,5,118,0,18,0,24,91,12,125,0,30,0,27,81,6,117,0,3,0,3,45,4,54,0,0,0,0,20,0,16,145,92,7,240,579,59,872,0,4,0,4,62,4,69,8,11,0,15,120,10,140,110,10,3,131,302,37,468,99,9,0,117,133,20,267,35,12,0,46,149,16,214,4,28,0,37,178,17,231,0,50,0,51,134,10,199,0,13,0,13,73,4,85,0,0,0,0
