POA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
POA2600,3,52,306,339,406,267,73,13,0,1462,41,47,40,34,42,41,75,20,3,342,5,0,8,12,8,8,4,3,0,45,3,3,5,0,0,5,4,3,0,24,55,100,365,377,452,324,157,31,3,1868,4,3,7,7,5,8,0,0,0,43,11,8,0,6,3,3,0,0,0,30,14,10,11,13,8,11,3,0,0,71,61,114,375,392,465,332,166,32,3,1938,100,28,22,25,32,98,270,135,80,791,3,10,39,26,23,22,28,12,5,167,164,150,427,441,515,452,463,177,95,2899,3,66,261,223,300,175,34,0,0,1072,69,56,67,99,137,119,60,10,0,616,5,0,23,24,8,18,4,3,0,92,3,0,9,4,4,3,0,0,0,19,82,123,362,354,453,318,100,14,0,1798,0,0,9,3,9,3,0,0,0,25,16,3,0,4,7,13,6,0,0,50,18,0,8,15,15,16,6,0,0,78
POA2601,3,58,349,150,93,67,13,3,0,729,86,199,92,23,8,13,7,0,0,431,13,20,20,3,3,0,0,0,0,60,29,41,20,0,0,3,0,0,0,95,127,318,477,180,108,81,19,4,0,1314,0,16,13,5,0,3,0,0,0,29,104,80,35,4,0,0,0,0,0,220,108,95,43,5,0,3,0,0,0,256,240,416,521,185,108,85,19,4,0,1567,290,593,224,32,14,21,36,4,4,1224,26,60,102,38,19,20,11,3,3,278,552,1066,850,252,138,125,66,11,12,3072,4,42,283,78,68,40,3,0,0,523,198,257,97,16,10,10,6,0,0,591,24,26,19,3,0,0,0,0,0,81,64,78,11,0,0,0,0,0,0,158,289,396,408,100,89,53,9,0,3,1351,0,7,20,3,3,0,0,0,0,28,156,93,23,5,0,0,0,0,0,275,160,102,42,3,3,0,0,0,0,306
POA2602,49,401,1619,1449,1317,611,114,10,0,5561,222,431,429,293,220,199,82,16,6,1895,11,26,50,37,40,44,11,0,0,222,6,11,22,26,16,6,3,0,0,91,288,867,2116,1805,1592,859,207,28,3,7773,8,33,48,43,50,36,7,0,0,214,53,58,45,19,11,22,9,0,0,213,62,87,92,55,54,59,13,0,0,428,348,954,2211,1864,1646,916,224,28,3,8203,386,297,272,168,198,442,626,485,274,3139,36,61,189,142,113,70,62,59,37,770,767,1316,2669,2172,1951,1429,915,576,316,12110,28,391,1362,1002,1039,488,38,4,0,4358,276,563,575,702,535,337,103,6,0,3089,10,38,120,116,45,40,9,0,0,383,4,13,26,22,10,9,3,0,0,74,320,1005,2077,1843,1630,873,150,15,3,7907,12,26,48,31,26,17,0,0,0,149,52,60,44,31,22,24,3,3,0,232,68,83,90,58,53,37,3,3,0,385
POA2603,16,115,443,393,547,326,87,15,0,1935,72,80,63,34,54,55,63,12,3,440,3,6,9,8,15,17,5,0,0,64,0,0,7,8,3,0,3,0,0,22,88,202,523,440,613,397,161,26,3,2463,0,9,10,10,24,16,0,0,0,71,16,5,4,3,4,4,3,0,0,43,16,16,18,17,28,20,3,0,0,114,105,215,539,456,644,413,164,26,3,2574,216,37,35,36,56,138,226,131,77,954,15,20,77,43,55,45,32,17,24,324,333,279,651,532,759,600,429,173,106,3857,7,115,451,300,368,232,30,0,5,1515,83,60,78,148,163,115,58,9,0,715,6,0,28,25,14,7,3,0,0,92,0,0,5,3,4,3,4,3,0,23,93,185,567,477,555,361,90,15,5,2346,0,8,12,13,7,9,0,0,0,38,21,5,8,6,9,0,4,0,0,54,20,9,14,13,18,10,4,0,0,87
POA2604,6,129,862,551,460,298,39,3,0,2351,49,82,78,64,56,67,38,9,0,443,9,3,31,19,11,15,3,0,0,91,0,3,6,10,3,7,5,0,0,33,66,221,974,640,536,378,93,10,0,2912,5,10,21,13,9,18,3,0,0,77,20,9,9,3,4,0,4,0,0,45,24,18,22,21,14,21,4,0,0,124,91,233,997,656,547,398,98,10,0,3034,145,25,41,35,68,162,190,112,71,857,19,24,100,53,57,45,39,38,38,416,250,285,1143,750,675,609,325,166,104,4303,11,135,817,446,413,191,30,0,0,2037,72,88,137,130,122,113,36,10,3,707,0,3,70,44,24,13,4,0,0,164,0,0,8,8,3,3,3,0,0,33,89,232,1036,630,562,327,67,10,4,2943,6,6,15,10,9,4,0,0,0,59,18,11,6,14,6,3,3,0,0,59,24,15,23,24,19,11,3,0,0,123
POA2605,14,76,360,536,589,318,47,3,0,1946,121,96,66,69,84,73,57,11,0,573,9,10,9,17,17,23,18,3,0,102,0,0,4,10,3,7,0,0,0,27,142,176,434,636,692,421,123,13,0,2645,4,9,8,7,13,9,0,0,0,49,22,7,3,7,5,8,3,3,0,61,32,12,14,11,16,14,3,3,0,106,171,194,449,647,709,435,126,17,0,2752,162,57,51,39,71,166,320,323,159,1351,16,10,48,48,59,38,46,29,20,316,350,260,550,735,836,641,499,376,178,4417,11,90,304,346,487,229,22,3,0,1499,138,97,122,256,214,151,49,8,0,1033,8,9,35,46,26,25,3,0,0,161,0,8,3,4,5,5,0,0,0,33,163,202,470,650,732,419,75,14,3,2725,0,3,7,14,7,3,0,0,0,36,15,3,9,15,9,0,3,0,0,56,15,12,18,20,23,3,3,0,0,94
POA2606,16,126,625,450,377,206,39,3,0,1850,45,73,147,112,65,55,37,14,0,549,5,5,13,10,12,7,3,3,0,67,0,3,17,9,6,3,3,0,0,47,69,209,807,588,458,273,84,18,0,2512,8,10,35,24,19,5,3,0,0,100,17,8,5,8,0,4,5,0,0,51,23,22,37,30,17,16,7,0,0,152,98,231,842,616,475,288,93,19,0,2664,123,38,65,61,64,116,230,198,72,966,5,27,89,51,36,41,23,19,3,307,229,297,999,730,581,446,340,236,79,3942,17,114,582,312,299,137,20,0,0,1480,58,94,189,174,144,77,54,3,0,788,0,7,44,24,9,8,4,0,0,106,0,0,14,3,5,3,0,0,0,26,77,220,829,517,455,225,74,8,0,2407,7,9,23,6,5,5,0,0,0,52,12,3,16,7,6,3,3,0,0,50,19,11,34,16,10,10,3,0,0,95
POA2607,31,154,484,607,703,437,75,3,0,2492,159,126,113,92,80,101,87,20,0,780,10,4,11,18,27,18,8,0,0,93,0,5,10,7,12,5,3,0,0,48,198,293,622,725,817,561,174,28,0,3421,11,17,26,21,19,13,3,0,0,109,26,16,3,3,0,6,7,3,0,67,38,38,29,20,21,21,13,3,0,179,237,325,647,752,838,585,188,33,0,3600,225,68,40,38,58,191,436,356,137,1558,20,14,37,33,31,24,27,23,14,210,481,406,722,821,924,803,655,407,153,5368,24,133,313,430,546,293,33,3,0,1779,176,145,180,287,259,160,85,5,0,1294,3,12,47,40,33,23,10,0,0,166,3,3,8,7,14,3,0,0,0,40,206,295,547,765,848,479,126,8,0,3276,3,8,13,11,15,0,0,0,0,49,25,5,10,6,15,3,0,0,0,79,26,13,24,21,25,7,4,0,0,128
POA2609,3,12,23,29,53,25,12,0,0,169,8,5,9,0,14,15,5,0,0,53,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,11,8,21,38,32,73,43,20,0,0,234,0,4,0,4,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,3,0,0,0,19,9,24,39,40,76,44,25,0,0,257,13,3,17,15,15,24,28,9,11,133,5,7,9,9,18,8,21,9,0,83,23,38,59,63,109,76,71,22,11,471,0,4,14,18,16,17,3,0,0,66,3,3,10,8,10,13,9,0,0,58,0,3,3,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,4,3,13,27,28,29,27,9,3,0,141,0,3,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,3,7,0,0,0,0,10
POA2611,72,290,1270,1577,1284,603,140,6,0,5234,206,192,193,194,170,188,133,22,3,1304,12,16,43,45,37,38,16,0,0,205,6,6,25,23,21,9,3,0,0,91,296,499,1523,1841,1509,840,290,34,3,6834,6,31,38,33,28,25,3,0,0,167,46,18,6,9,14,10,5,0,0,108,57,49,47,48,40,32,11,0,0,279,348,550,1572,1887,1552,873,303,34,3,7115,315,80,95,109,142,368,927,583,179,2789,19,33,129,109,90,66,80,83,44,657,689,659,1794,2105,1781,1303,1309,697,224,10559,52,258,1033,1008,901,476,67,11,0,3791,289,242,422,717,505,311,140,18,3,2633,13,20,198,127,48,45,24,0,0,473,9,8,17,11,18,10,4,0,0,73,357,524,1662,1854,1470,837,235,23,3,6968,4,19,30,26,20,7,4,0,0,102,41,22,23,16,18,18,10,3,0,144,45,35,53,41,43,20,9,3,0,250
POA2612,225,753,1531,661,531,311,52,3,0,4065,88,309,272,106,77,78,46,11,4,988,7,20,42,18,12,15,3,0,0,114,18,24,32,10,3,3,3,0,0,86,339,1099,1873,793,629,400,106,21,4,5261,3,17,52,32,25,17,4,0,0,151,36,53,29,9,4,3,3,0,0,132,41,68,77,42,27,25,3,0,0,285,378,1168,1957,833,656,426,107,21,4,5546,166,286,214,89,123,211,270,134,77,1584,31,142,250,119,110,74,53,26,4,809,576,1596,2422,1043,885,715,430,179,84,7933,108,396,1293,451,380,183,31,3,0,2843,106,355,263,170,136,110,44,11,0,1193,11,28,75,34,17,17,3,3,0,185,20,16,18,3,8,3,0,0,0,65,241,801,1652,652,535,312,78,11,0,4288,8,16,32,12,9,7,0,0,0,86,44,68,19,8,3,7,0,0,0,149,49,82,53,24,17,14,0,0,0,232
POA2614,40,212,775,945,901,398,81,12,0,3374,140,225,187,166,122,125,96,26,3,1087,14,12,22,24,37,23,10,0,0,148,0,4,23,13,8,6,0,3,0,69,196,449,1003,1159,1073,562,189,42,0,4677,6,31,32,24,19,21,8,0,0,149,44,23,14,8,9,8,6,3,0,117,49,48,52,40,31,31,10,3,0,260,246,502,1051,1191,1103,591,205,47,0,4938,259,158,108,79,111,289,663,485,194,2344,18,32,64,53,52,26,45,49,9,348,520,695,1221,1326,1264,909,908,579,204,7631,22,180,583,593,646,331,44,4,0,2396,189,200,307,444,320,213,82,15,0,1772,8,7,73,67,37,34,14,0,0,245,4,5,6,8,7,3,5,0,0,43,226,393,967,1116,1005,580,147,23,0,4450,3,14,20,14,11,9,0,0,0,71,26,26,22,20,11,13,12,0,0,126,29,38,39,29,23,25,14,0,0,198
POA2615,148,598,2237,2555,1854,1043,194,6,3,8641,349,361,330,341,245,253,171,12,0,2062,32,25,66,81,63,45,23,3,0,339,15,25,39,34,32,17,3,0,0,175,542,1009,2679,3010,2201,1355,388,26,4,11205,39,63,73,68,48,33,0,0,0,328,94,45,32,20,19,31,12,0,0,246,135,112,103,82,64,62,10,0,0,574,670,1115,2785,3093,2263,1417,404,28,4,11781,576,152,239,197,260,633,1302,621,139,4114,52,63,146,141,88,97,90,50,18,750,1301,1336,3167,3427,2610,2150,1795,697,158,16646,83,451,1641,1587,1394,767,96,4,0,6010,482,437,786,1053,652,527,155,6,0,4104,20,33,268,152,84,61,10,0,3,632,15,21,20,24,20,19,3,0,3,125,601,936,2716,2819,2150,1375,267,10,5,10878,13,29,45,51,37,16,6,0,0,198,84,42,41,44,31,29,7,0,0,280,99,68,84,98,66,46,7,0,0,475
POA2617,65,555,2024,1600,1194,713,131,9,0,6294,266,520,453,248,164,205,117,7,0,1989,10,36,67,47,33,40,21,0,0,256,18,50,27,31,10,13,7,0,0,163,368,1164,2571,1927,1407,965,272,19,0,8699,17,46,82,51,41,30,9,0,0,274,88,99,44,17,8,23,5,0,0,283,102,147,122,72,46,53,13,4,0,556,473,1311,2694,2001,1456,1020,291,19,0,9262,431,632,350,139,125,498,840,379,119,3506,56,140,234,145,114,90,74,44,35,932,954,2087,3271,2280,1690,1603,1203,445,163,13697,57,479,1522,916,861,547,83,0,0,4470,342,615,693,641,398,326,112,9,0,3151,21,57,158,83,37,55,8,0,0,418,16,40,35,21,16,10,6,0,0,139,432,1196,2408,1659,1314,940,214,9,3,8176,11,46,65,46,23,10,0,0,0,200,68,92,56,30,20,20,4,0,0,283,74,144,121,78,38,32,4,0,0,484
