POA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
POA2600,0,11,..,7,0,7,0,7,..,0,0,0,0,0,..,7,0,7,0,7,..,10,3,12,0,12,..,12,0,12,0,12,..,0,0,0,0,0,..,4,0,8,0,8,..,5,0,5,0,5,..,12,0,12,0,12,..,12,0,12,0,12,..,0,0,0,0,0,..,31,0,31,0,31,..,24,3,25,0,25,..,11,0,11,0,11,..,12,0,19,0,19,..,0,0,0,0,0,..,26,0,27,0,33,..,72,3,75,0,78,..,625,45,670,3,676,..,7,0,11,197,209,2979,635,44,677,204,3859,5678,..,..,..,..,5678,..,0,0,0,0,0,..,19,10,31,0,31,..,0,0,0,0,0,..,48,3,46,0,46,..,118,27,143,0,143,..,10,5,19,0,19,..,173,32,209,0,209,..,41,0,41,0,41,..,19,0,16,0,16,..,88,4,91,0,91,..,45,0,45,0,48
POA2601,0,64,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,11,0,11,..,7,0,7,0,7,..,13,0,9,0,9,..,3,0,3,0,3,..,4,0,4,0,4,..,12,0,12,0,12,..,35,0,35,0,35,..,12,0,14,0,14,..,19,0,22,0,22,..,75,0,83,0,83,..,22,0,22,0,22,..,21,0,21,0,20,..,23,4,22,0,22,..,4,0,4,0,4,..,14,3,21,0,21,..,60,0,61,5,70,..,1423,91,1515,12,1524,..,0,0,0,229,228,1485,1420,91,1516,236,3232,3056,..,..,..,..,3056,..,5,0,5,0,5,..,38,10,45,0,45,..,3,0,3,0,3,..,233,10,236,3,243,..,1241,89,1326,3,1328,..,75,24,103,0,103,..,1550,119,1668,6,1677,..,9,0,9,0,9,..,11,0,11,0,11,..,36,0,36,3,32,..,23,0,23,0,23
POA2602,0,84,..,8,3,17,0,17,..,3,0,3,0,3,..,23,9,28,0,35,..,35,10,45,0,42,..,44,7,54,0,54,..,11,0,11,0,11,..,33,19,49,0,52,..,33,0,33,0,33,..,93,4,98,0,97,..,36,0,36,0,41,..,14,3,17,0,17,..,178,10,187,3,190,..,125,11,138,0,138,..,25,3,25,0,27,..,38,6,45,0,45,..,4,0,4,0,4,..,157,49,205,3,213,..,546,97,642,10,649,..,2670,426,3092,30,3127,..,34,5,44,843,885,11767,2703,432,3133,879,15776,22802,..,..,..,..,22802,..,14,0,14,0,14,..,96,32,131,3,131,..,13,0,13,0,13,..,159,30,188,0,194,..,552,121,672,0,675,..,46,19,62,0,63,..,764,165,924,7,929,..,122,11,132,0,132,..,74,0,80,0,81,..,211,3,218,3,218,..,250,7,255,5,260
POA2603,0,19,..,10,0,7,0,7,..,3,0,3,0,3,..,12,3,15,0,16,..,13,0,13,0,13,..,10,5,14,0,14,..,0,0,0,0,0,..,8,0,8,0,8,..,8,0,8,0,8,..,15,4,18,0,18,..,21,0,21,0,21,..,5,0,5,0,5,..,44,4,47,0,47,..,36,0,39,0,39,..,15,0,15,0,15,..,9,0,6,0,6,..,10,7,8,0,11,..,22,6,31,0,31,..,96,10,100,0,106,..,849,90,934,8,944,..,7,0,10,344,356,3414,860,93,949,349,4719,6814,..,..,..,..,6814,..,3,0,3,0,3,..,51,18,68,0,68,..,6,0,6,0,6,..,66,13,78,0,78,..,173,39,212,3,212,..,8,0,11,0,11,..,246,53,300,3,301,..,41,3,48,0,48,..,12,0,12,0,12,..,138,4,142,0,145,..,65,4,72,0,72
POA2604,0,32,..,3,0,6,0,6,..,5,0,5,0,5,..,13,5,15,0,15,..,17,3,21,0,21,..,11,0,11,0,11,..,7,0,7,0,7,..,10,4,15,0,15,..,17,0,17,0,17,..,10,0,10,0,10,..,14,0,14,0,13,..,0,0,0,0,0,..,46,0,46,3,45,..,41,0,41,0,41,..,6,3,13,0,12,..,6,0,7,0,7,..,6,0,9,0,7,..,24,4,32,0,32,..,107,16,122,0,124,..,890,93,984,7,992,..,9,3,11,481,496,3875,895,99,998,488,5354,7533,..,..,..,..,7533,..,8,0,8,0,8,..,65,9,74,0,76,..,8,0,8,0,8,..,70,10,84,0,84,..,147,25,174,0,174,..,14,3,18,0,18,..,231,38,267,0,267,..,39,5,38,0,38,..,27,0,27,0,27,..,205,4,205,0,205,..,62,3,66,0,66
POA2605,0,25,..,11,0,10,0,10,..,3,0,3,0,3,..,4,0,4,0,4,..,16,4,24,0,24,..,10,0,16,0,16,..,3,3,7,0,7,..,12,5,19,0,19,..,26,0,26,0,26,..,23,0,26,0,26,..,26,0,26,0,26,..,7,0,7,0,7,..,94,0,94,0,94,..,39,5,44,0,44,..,33,3,34,0,38,..,19,3,21,0,21,..,3,0,3,0,3,..,21,0,24,0,24,..,226,31,254,3,259,..,1046,123,1167,11,1176,..,15,0,13,326,340,4609,1062,121,1181,336,6126,8883,..,..,..,..,8883,..,11,0,11,0,11,..,57,5,63,0,63,..,3,0,3,0,3,..,32,6,41,0,42,..,150,30,180,0,180,..,8,4,17,0,17,..,195,45,236,0,238,..,18,4,18,0,18,..,14,0,14,0,14,..,114,3,118,0,121,..,80,4,82,0,81
POA2606,0,43,..,8,0,8,0,8,..,0,0,0,0,0,..,10,0,13,0,13,..,19,0,19,0,19,..,14,3,12,0,12,..,11,4,13,0,13,..,19,3,23,0,23,..,46,0,50,0,50,..,15,3,17,0,17,..,64,0,63,0,65,..,7,0,7,0,7,..,137,3,143,0,143,..,34,3,38,0,38,..,38,6,45,0,45,..,16,4,19,0,19,..,8,0,8,0,8,..,31,12,45,0,45,..,370,68,436,10,452,..,1379,202,1581,17,1596,..,13,0,10,301,312,2859,1391,208,1591,316,4764,5756,..,..,..,..,5756,..,10,0,10,0,10,..,81,10,93,0,99,..,10,0,10,0,10,..,107,13,120,0,120,..,197,50,246,0,249,..,9,3,14,0,14,..,315,68,378,0,378,..,47,0,47,0,47,..,8,0,8,0,8,..,56,0,53,3,57,..,54,0,54,0,57
POA2607,0,19,..,15,0,14,0,14,..,9,0,9,0,9,..,13,0,15,0,15,..,21,0,21,0,21,..,22,0,23,0,23,..,4,0,4,0,4,..,20,0,24,0,24,..,32,0,32,3,36,..,19,0,21,0,21,..,43,0,44,0,44,..,12,0,12,0,12,..,102,3,102,3,103,..,43,0,43,0,43,..,63,11,78,0,78,..,28,3,30,0,30,..,12,0,13,0,13,..,21,10,28,0,28,..,237,39,271,4,274,..,1483,172,1657,12,1665,..,15,4,19,225,246,5036,1500,175,1680,237,6953,10016,..,..,..,..,10016,..,31,0,31,0,31,..,115,12,129,0,129,..,5,0,5,0,5,..,118,23,134,0,134,..,279,63,343,0,343,..,6,0,9,0,9,..,406,80,483,0,485,..,55,5,58,0,59,..,21,3,21,0,21,..,92,0,92,0,92,..,76,3,76,0,76
POA2609,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,0,4,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,31,4,34,0,34,..,0,0,0,53,53,284,31,4,34,53,373,663,..,..,..,..,663,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3
POA2611,0,46,..,12,3,15,0,15,..,6,0,6,0,6,..,33,3,38,0,38,..,44,7,49,0,49,..,34,4,34,0,34,..,9,0,9,0,9,..,37,3,44,0,45,..,55,0,57,0,59,..,28,8,35,0,35,..,56,0,53,0,53,..,19,0,19,0,19,..,153,11,167,0,168,..,79,15,99,0,99,..,34,0,40,0,40,..,40,3,42,0,42,..,10,0,10,0,10,..,38,17,59,0,61,..,357,46,398,7,413,..,2104,293,2397,27,2427,..,21,0,25,817,847,11187,2127,295,2421,847,14453,21823,..,..,..,..,21823,..,27,0,27,0,27,..,181,31,209,4,218,..,6,0,6,0,6,..,165,29,193,0,193,..,326,60,386,10,398,..,23,0,28,0,28,..,518,90,603,10,617,..,139,26,168,0,168,..,40,4,47,0,51,..,167,10,179,3,181,..,181,0,181,0,179
POA2612,4,83,..,8,0,12,0,12,..,0,0,0,0,0,..,16,0,16,0,16,..,23,4,24,0,24,..,20,0,20,0,20,..,0,0,0,0,0,..,10,3,19,0,19,..,15,0,21,0,21,..,46,3,52,0,52,..,18,0,19,0,24,..,19,0,19,0,22,..,104,3,113,3,115,..,62,4,69,0,69,..,18,0,18,0,23,..,26,8,29,0,29,..,5,0,5,0,5,..,75,19,100,0,100,..,168,40,201,3,204,..,1485,210,1691,14,1706,..,9,0,8,641,648,5188,1489,209,1698,658,7537,11175,..,..,..,..,11175,..,7,0,7,0,7,..,63,6,66,0,72,..,7,0,7,0,7,..,141,23,160,0,158,..,643,91,732,0,739,..,57,16,71,0,71,..,842,128,964,3,972,..,49,0,52,0,49,..,22,0,22,0,22,..,103,7,109,0,108,..,91,5,93,0,89
POA2614,0,34,..,3,3,3,0,3,..,5,0,4,0,4,..,16,3,22,0,22,..,13,0,18,0,18,..,23,3,27,0,27,..,5,0,5,0,5,..,9,3,13,0,14,..,26,0,26,0,26,..,29,5,29,0,29,..,30,0,27,0,27,..,25,0,25,0,23,..,107,3,109,0,111,..,81,15,92,0,90,..,23,3,25,0,25,..,26,0,26,0,26,..,11,3,10,0,10,..,73,27,98,0,98,..,275,69,349,4,357,..,1671,291,1960,18,1981,..,25,0,26,397,422,7497,1695,290,1989,412,9903,14730,..,..,..,..,14730,..,10,0,10,0,10,..,61,19,81,3,78,..,9,0,7,0,10,..,108,26,134,0,134,..,482,94,575,0,575,..,32,10,39,0,39,..,623,128,749,0,749,..,54,11,60,0,60,..,30,0,26,0,26,..,120,3,122,0,125,..,123,0,123,0,123
